analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,60,50,27.98,1.96,0.03266666666666666,0.72,0.72,0.35523948749674356,0.0,11716.716499999999
family:facts_specifications,chunker-generic-recursive,Recursive chunker,5,50,23.72,0.44,0.08800000000000001,0.34,0.34,0.19755997616359672,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,10,50,23.72,0.74,0.07400000000000001,0.54,0.54,0.2693115906118353,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,15,50,23.72,0.88,0.058666666666666666,0.62,0.62,0.3003642967769996,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,20,50,23.72,0.96,0.048,0.7,0.7,0.31739886940196077,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,25,50,23.72,1.0,0.04,0.7,0.7,0.32054484059402305,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,30,50,23.72,1.08,0.036000000000000004,0.7,0.7,0.3275552608417225,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,35,50,23.72,1.1,0.03142857142857143,0.7,0.7,0.32994603238129194,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,40,50,23.72,1.12,0.028000000000000004,0.7,0.7,0.3312294170367236,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,45,50,23.72,1.12,0.02488888888888889,0.7,0.7,0.3312294170367236,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,50,50,23.72,1.12,0.022400000000000003,0.7,0.7,0.3312294170367236,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,55,50,23.72,1.12,0.02036363636363636,0.7,0.7,0.3312294170367236,0.0,5734.616
family:facts_specifications,chunker-generic-recursive,Recursive chunker,60,50,23.72,1.12,0.018666666666666668,0.7,0.7,0.3312294170367236,0.0,5734.616
family:setup_configuration,chunker-generic-recursive,Recursive chunker,5,50,26.96,0.34,0.068,0.3,0.3,0.16866416457514333,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,10,50,26.96,0.6,0.06,0.54,0.54,0.24134965454740454,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,15,50,26.96,0.68,0.04533333333333333,0.56,0.56,0.2541620241396105,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,20,50,26.96,0.74,0.037000000000000005,0.58,0.58,0.263877681774621,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,25,50,26.96,0.86,0.0344,0.6,0.6,0.27986666082930634,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,30,50,26.96,0.88,0.029333333333333333,0.6,0.6,0.2823657880497673,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,35,50,26.96,0.88,0.025142857142857144,0.6,0.6,0.2823657880497673,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,40,50,26.96,0.9,0.0225,0.62,0.62,0.2861238245439494,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,45,50,26.96,0.9,0.02,0.62,0.62,0.2861238245439494,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,50,50,26.96,0.9,0.018000000000000002,0.62,0.62,0.2861238245439494,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,55,50,26.96,0.9,0.01636363636363636,0.62,0.62,0.2861238245439494,0.0,6128.3885
family:setup_configuration,chunker-generic-recursive,Recursive chunker,60,50,26.96,0.9,0.015,0.62,0.62,0.2861238245439494,0.0,6128.3885
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,5,50,21.76,0.2,0.04,0.2,0.2,0.13932483359370784,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,10,50,21.76,0.36,0.036000000000000004,0.36,0.36,0.18396425334731847,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,15,50,21.76,0.46,0.030666666666666665,0.44,0.44,0.2070824550322687,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,20,50,21.76,0.52,0.026000000000000002,0.48,0.48,0.21958701849313086,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,25,50,21.76,0.6,0.024,0.52,0.52,0.23361465225001887,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,30,50,21.76,0.64,0.021333333333333333,0.56,0.56,0.24198114256069211,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,35,50,21.76,0.64,0.018285714285714284,0.56,0.56,0.24198114256069211,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,40,50,21.76,0.64,0.016,0.56,0.56,0.24198114256069211,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,45,50,21.76,0.64,0.014222222222222223,0.56,0.56,0.24198114256069211,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,50,50,21.76,0.64,0.0128,0.56,0.56,0.24198114256069211,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,55,50,21.76,0.64,0.011636363636363636,0.56,0.56,0.24198114256069211,0.0,5882.440500000001
family:troubleshooting_diagnostics,chunker-generic-recursive,Recursive chunker,60,50,21.76,0.64,0.010666666666666666,0.56,0.56,0.24198114256069211,0.0,5882.440500000001
family:features_security_maintenance_limitations,chunker-generic-recursive,Recursive chunker,5,50,28.7,0.48,0.096,0.32,0.32,0.18358632566736563,0.0,5733.985500000001
