condition_id,condition_label,scope,from_k,to_k,question_count,delta_recall,recall_ci95_low,recall_ci95_high,recall_significant,delta_precision,precision_ci95_low,precision_ci95_high,precision_significant,delta_ndcg,ndcg_ci95_low,ndcg_ci95_high,ndcg_significant,recall_practical_small,recall_local_plateau,ndcg_practical_small
chunker-generic-recursive,Recursive chunker,combined,10,15,200,0.065,0.035,0.1,1,-0.011833333333333336,-0.01633333333333334,-0.007333333333333335,1,0.025269896972384052,0.01612028791201206,0.035434007567938026,1,0,0,0
chunker-generic-recursive,Recursive chunker,combined,15,20,200,0.04,0.015,0.07,1,-0.009166666666666665,-0.011749999999999998,-0.006416666666666665,1,0.012185439417216993,0.005895095491324433,0.019217345577724608,1,0,0,0
chunker-generic-recursive,Recursive chunker,combined,20,25,200,0.015,0.0,0.035,0,-0.004700000000000001,-0.006550000000000003,-0.002750000000000001,1,0.011217529487975483,0.005986824348350486,0.017408460185382193,1,1,1,0
chunker-generic-recursive,Recursive chunker,combined,25,30,200,0.015,0.0,0.035,0,-0.0038000000000000004,-0.0051333333333333335,-0.0024000000000000007,1,0.007671359207278852,0.003539962223858748,0.012477924282404013,1,1,1,1
chunker-generic-recursive,Recursive chunker,combined,30,35,200,0.0,0.0,0.0,0,-0.004428571428571428,-0.0051428571428571435,-0.0037380952380952383,1,0.0005976928848923731,0.0,0.0017930786546771194,0,1,1,1
chunker-generic-recursive,Recursive chunker,combined,35,40,200,0.005,0.0,0.015,0,-0.00294642857142857,-0.00357142857142857,-0.002303571428571427,1,0.0022835212894103036,0.00032084616385791797,0.004996129266723015,1,1,1,1
chunker-generic-recursive,Recursive chunker,combined,40,45,200,0.0,0.0,0.0,0,-0.002736111111111112,-0.0031250000000000006,-0.0023750000000000004,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,combined,45,50,200,0.0,0.0,0.0,0,-0.002188888888888889,-0.0025,-0.0018777777777777781,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,combined,50,55,200,0.0,0.0,0.0,0,-0.001790909090909092,-0.0020454545454545465,-0.0015454545454545465,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,combined,55,60,200,0.0,0.0,0.0,0,-0.0014924242424242415,-0.0017045454545454536,-0.0012803030303030296,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,en,5,10,100,0.19,0.11,0.27,1,-0.019999999999999997,-0.038000000000000006,-0.0020000000000000005,1,0.060566514060156285,0.03942819648930224,0.08433926579000389,1,0,0,0
chunker-generic-recursive,Recursive chunker,en,10,15,100,0.07,0.02,0.13,1,-0.015333333333333334,-0.022333333333333337,-0.008000000000000002,1,0.024406811490530624,0.01167586686059107,0.03898088075885783,1,0,0,0
chunker-generic-recursive,Recursive chunker,en,15,20,100,0.05,0.01,0.1,1,-0.010166666666666666,-0.01416666666666666,-0.006166666666666665,1,0.013919233430591323,0.004752213799347697,0.02499828725897384,1,0,0,0
chunker-generic-recursive,Recursive chunker,en,20,25,100,0.03,0.0,0.07,0,-0.004100000000000002,-0.007100000000000003,-0.0008000000000000012,1,0.017164188504956438,0.007577484125673851,0.02794644081681231,1,0,0,0
chunker-generic-recursive,Recursive chunker,en,25,30,100,0.01,0.0,0.03,0,-0.005066666666666667,-0.0068000000000000005,-0.0032000000000000006,1,0.006743728994099378,0.0012895093574484717,0.013449054571703391,1,1,1,1
chunker-generic-recursive,Recursive chunker,en,30,35,100,0.0,0.0,0.0,0,-0.005047619047619047,-0.005952380952380951,-0.004236904761904779,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,en,35,40,100,0.01,0.0,0.03,0,-0.0032857142857142846,-0.0041785714285714265,-0.0022857142857142833,1,0.0027732354877458053,0.0,0.007425489222582686,0,1,1,1
chunker-generic-recursive,Recursive chunker,en,40,45,100,0.0,0.0,0.0,0,-0.0030000000000000005,-0.0035277777777777772,-0.0025000000000000005,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,en,45,50,100,0.0,0.0,0.0,0,-0.0024000000000000002,-0.0028222222222222225,-0.0020000000000000005,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,en,50,55,100,0.0,0.0,0.0,0,-0.0019636363636363644,-0.0023090909090909104,-0.0016363636363636374,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,en,55,60,100,0.0,0.0,0.0,0,-0.0016363636363636352,-0.001924242424242423,-0.0013636363636363629,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,id,5,10,100,0.21,0.13,0.29,1,-0.0030000000000000005,-0.017,0.011000000000000001,0,0.06492700082264671,0.04271366704353946,0.08804743040891531,1,0,0,0
chunker-generic-recursive,Recursive chunker,id,10,15,100,0.06,0.02,0.11,1,-0.008333333333333337,-0.014333333333333335,-0.002333333333333336,1,0.026132982454237473,0.013564996301760945,0.04040137280829074,1,0,0,0
